"lhs","rhs","est","se","pvalue","std.all"
"ind60","x1",1,0,NA,0.920018613276137
"ind60","x2",2.17965660554269,0.138385086346306,0,0.972890896041059
"ind60","x3",1.81820996013841,0.15188030709024,0,0.872151200578363
"dem60","y1",1,0,NA,0.850430677020592
"dem60","y2",1.19078203266685,0.139263255077273,0,0.689537199337041
"dem60","y3",1.17454069182589,0.120402067219394,0,0.757833459552936
"dem60","y4",1.25097887909172,0.116786597978295,0,0.837662362324749
"dem65","y5",1,0,NA,0.816861006122892
"dem65","y6",1.19078203266685,0.139263255077273,0,0.754774567277506
"dem65","y7",1.17454069182589,0.120402067219394,0,0.801581299230729
"dem65","y8",1.25097887909172,0.116786597978295,0,0.828836821711075
