Comparison,Predictor,B,RRR,CI_lower,CI_upper,p_value,Abs_B
versicolor vs setosa,const,35.89763040585389,3891730864348806.5,0.0,inf,0.99996816803858,35.89763040585389
versicolor vs setosa,Sepal_Length,-2.352227877171683,0.09515692793990023,0.0,inf,0.9999968928642485,2.352227877171683
versicolor vs setosa,Sepal_Width,-1.2084678470971926,0.29865451344394,0.0,inf,0.9999980579002545,1.2084678470971926
versicolor vs setosa,Petal_Length,33.206139445694184,263780766906618.75,0.0,inf,0.9999756071447564,33.206139445694184
versicolor vs setosa,Petal_Width,26.31576114276587,268404536192.09857,0.0,inf,0.999973396811824,26.31576114276587
virginica vs setosa,const,15.795827588667589,7245039.521080487,0.0,inf,0.9999859931653206,15.795827588667589
virginica vs setosa,Sepal_Length,-4.386777289175511,0.012440757650116336,0.0,inf,0.9999942053605091,4.386777289175511
virginica vs setosa,Sepal_Width,-4.11071844206938,0.01639599072430447,0.0,inf,0.9999933937628054,4.11071844206938
virginica vs setosa,Petal_Length,49.79623803561698,4.228938782503395e+21,0.0,inf,0.9999634202455907,49.79623803561698
virginica vs setosa,Petal_Width,40.20760453898214,2.896948547697859e+17,0.0,inf,0.9999593532384056,40.20760453898214
