,B,SE,CI_low,CI_high,z,p
Intercept,33.6613,2.9195,27.9391,39.3835,11.5297,0.0
C(Diet)[T.2],-5.0277,5.011,-14.849,4.7937,-1.0033,0.3157
C(Diet)[T.3],-15.4109,5.011,-25.2323,-5.5896,-3.0754,0.0021
C(Diet)[T.4],-1.7504,5.018,-11.5856,8.0847,-0.3488,0.7272
Time,6.277,0.7614,4.7847,7.7693,8.2441,0.0
Time:C(Diet)[T.2],2.3321,1.3044,-0.2245,4.8887,1.7879,0.0738
Time:C(Diet)[T.3],5.1459,1.3044,2.5893,7.7025,3.945,0.0001
Time:C(Diet)[T.4],3.255,1.3051,0.697,5.813,2.494,0.0126
Group Var,0.7156,0.2227,0.279,1.1521,3.2128,0.0013
Group x Time Cov,-0.2132,0.0545,-0.32,-0.1065,-3.9145,0.0001
Time Var,0.0668,0.0151,0.0372,0.0965,4.4213,0.0
