Time,Comparison,F/t,df,p_uncorr,p_corrected,Effect_Size,Type
0.0,Omnibus (Diet),1.13,"3,46",0.3459,1.0,0.069,partial_eta_sq
0.0,Diet 1 vs 2,1.53,28,0.1364,1.0,0.594,Cohen_d
0.0,Diet 1 vs 3,1.54,28,0.1352,1.0,0.596,Cohen_d
0.0,Diet 1 vs 4,1.02,28,0.3172,1.0,0.394,Cohen_d
0.0,Diet 2 vs 3,-0.17,18,0.8637,1.0,-0.078,Cohen_d
0.0,Diet 2 vs 4,-0.52,18,0.6103,1.0,-0.232,Cohen_d
0.0,Diet 3 vs 4,-0.43,18,0.6733,1.0,-0.192,Cohen_d
2.0,Omnibus (Diet),4.78,"3,46",0.0055,0.0666,0.238,partial_eta_sq
2.0,Diet 1 vs 2,-1.43,28,0.1639,1.0,-0.554,Cohen_d
2.0,Diet 1 vs 3,-2.15,28,0.0402,1.0,-0.833,Cohen_d
2.0,Diet 1 vs 4,-3.18,28,0.0036,0.2557,-1.233,Cohen_d
2.0,Diet 2 vs 3,-0.84,18,0.4106,1.0,-0.377,Cohen_d
2.0,Diet 2 vs 4,-2.19,18,0.0419,1.0,-0.98,Cohen_d
2.0,Diet 3 vs 4,-1.43,18,0.1692,1.0,-0.64,Cohen_d
4.0,Omnibus (Diet),15.16,"3,45",0.0,0.0,0.503,partial_eta_sq
4.0,Diet 1 vs 2,-2.35,27,0.0263,1.0,-0.918,Cohen_d
4.0,Diet 1 vs 3,-3.93,27,0.0005,0.0387,-1.534,Cohen_d
4.0,Diet 1 vs 4,-5.59,27,0.0,0.0005,-2.182,Cohen_d
4.0,Diet 2 vs 3,-2.1,18,0.0498,1.0,-0.941,Cohen_d
4.0,Diet 2 vs 4,-4.33,18,0.0004,0.0291,-1.936,Cohen_d
4.0,Diet 3 vs 4,-1.93,18,0.0698,1.0,-0.862,Cohen_d
6.0,Omnibus (Diet),18.16,"3,45",0.0,0.0,0.548,partial_eta_sq
6.0,Diet 1 vs 2,-3.25,27,0.0031,0.2207,-1.271,Cohen_d
6.0,Diet 1 vs 3,-3.98,27,0.0005,0.0333,-1.556,Cohen_d
6.0,Diet 1 vs 4,-6.28,27,0.0,0.0001,-2.453,Cohen_d
6.0,Diet 2 vs 3,-1.12,18,0.2779,1.0,-0.5,Cohen_d
6.0,Diet 2 vs 4,-4.1,18,0.0007,0.0487,-1.832,Cohen_d
6.0,Diet 3 vs 4,-2.49,18,0.0229,1.0,-1.112,Cohen_d
8.0,Omnibus (Diet),10.17,"3,45",0.0,0.0004,0.404,partial_eta_sq
8.0,Diet 1 vs 2,-2.18,27,0.0384,1.0,-0.851,Cohen_d
8.0,Diet 1 vs 3,-3.6,27,0.0013,0.0915,-1.405,Cohen_d
8.0,Diet 1 vs 4,-5.32,27,0.0,0.0009,-2.078,Cohen_d
8.0,Diet 2 vs 3,-1.1,18,0.2862,1.0,-0.492,Cohen_d
8.0,Diet 2 vs 4,-2.51,18,0.0218,1.0,-1.123,Cohen_d
8.0,Diet 3 vs 4,-1.47,18,0.1586,1.0,-0.658,Cohen_d
10.0,Omnibus (Diet),6.46,"3,45",0.001,0.0119,0.301,partial_eta_sq
10.0,Diet 1 vs 2,-1.71,27,0.099,1.0,-0.668,Cohen_d
10.0,Diet 1 vs 3,-2.83,27,0.0088,0.632,-1.104,Cohen_d
10.0,Diet 1 vs 4,-4.31,27,0.0002,0.0139,-1.685,Cohen_d
10.0,Diet 2 vs 3,-0.86,18,0.4006,1.0,-0.385,Cohen_d
10.0,Diet 2 vs 4,-2.06,18,0.054,1.0,-0.922,Cohen_d
10.0,Diet 3 vs 4,-1.21,18,0.2408,1.0,-0.542,Cohen_d
12.0,Omnibus (Diet),5.71,"3,45",0.0021,0.0255,0.276,partial_eta_sq
12.0,Diet 1 vs 2,-1.7,27,0.1008,1.0,-0.664,Cohen_d
12.0,Diet 1 vs 3,-2.97,27,0.0061,0.4414,-1.162,Cohen_d
12.0,Diet 1 vs 4,-3.91,27,0.0006,0.0402,-1.528,Cohen_d
12.0,Diet 2 vs 3,-0.9,18,0.3819,1.0,-0.401,Cohen_d
12.0,Diet 2 vs 4,-1.57,18,0.1335,1.0,-0.703,Cohen_d
12.0,Diet 3 vs 4,-0.71,18,0.4855,1.0,-0.318,Cohen_d
14.0,Omnibus (Diet),4.1,"3,44",0.0119,0.1431,0.218,partial_eta_sq
14.0,Diet 1 vs 2,-1.18,26,0.2476,1.0,-0.466,Cohen_d
14.0,Diet 1 vs 3,-2.86,26,0.0082,0.5899,-1.129,Cohen_d
14.0,Diet 1 vs 4,-3.08,26,0.0048,0.3482,-1.215,Cohen_d
14.0,Diet 2 vs 3,-1.28,18,0.2156,1.0,-0.574,Cohen_d
14.0,Diet 2 vs 4,-1.35,18,0.1922,1.0,-0.606,Cohen_d
14.0,Diet 3 vs 4,0.23,18,0.8244,1.0,0.101,Cohen_d
16.0,Omnibus (Diet),3.53,"3,43",0.0226,0.2717,0.197,partial_eta_sq
16.0,Diet 1 vs 2,-1.05,25,0.3044,1.0,-0.418,Cohen_d
16.0,Diet 1 vs 3,-2.95,25,0.0068,0.4902,-1.176,Cohen_d
16.0,Diet 1 vs 4,-2.4,25,0.0243,1.0,-0.955,Cohen_d
16.0,Diet 2 vs 3,-1.5,18,0.152,1.0,-0.669,Cohen_d
16.0,Diet 2 vs 4,-0.93,18,0.3627,1.0,-0.418,Cohen_d
16.0,Diet 3 vs 4,0.95,18,0.3547,1.0,0.425,Cohen_d
18.0,Omnibus (Diet),4.58,"3,43",0.0072,0.0863,0.242,partial_eta_sq
18.0,Diet 1 vs 2,-1.32,25,0.1992,1.0,-0.526,Cohen_d
18.0,Diet 1 vs 3,-3.55,25,0.0015,0.1115,-1.416,Cohen_d
18.0,Diet 1 vs 4,-2.49,25,0.0196,1.0,-0.994,Cohen_d
18.0,Diet 2 vs 3,-1.68,18,0.1108,1.0,-0.75,Cohen_d
18.0,Diet 2 vs 4,-0.67,18,0.511,1.0,-0.3,Cohen_d
18.0,Diet 3 vs 4,1.43,18,0.169,1.0,0.641,Cohen_d
20.0,Omnibus (Diet),5.46,"3,42",0.0029,0.0349,0.281,partial_eta_sq
20.0,Diet 1 vs 2,-1.44,25,0.1614,1.0,-0.575,Cohen_d
20.0,Diet 1 vs 3,-3.75,25,0.0009,0.067,-1.496,Cohen_d
20.0,Diet 1 vs 4,-3.07,24,0.0053,0.38,-1.265,Cohen_d
20.0,Diet 2 vs 3,-1.76,18,0.0957,1.0,-0.786,Cohen_d
20.0,Diet 2 vs 4,-1.08,17,0.2972,1.0,-0.494,Cohen_d
20.0,Diet 3 vs 4,1.01,17,0.3277,1.0,0.463,Cohen_d
21.0,Omnibus (Diet),4.65,"3,41",0.0069,0.0823,0.254,partial_eta_sq
21.0,Diet 1 vs 2,-1.38,24,0.1818,1.0,-0.554,Cohen_d
21.0,Diet 1 vs 3,-3.6,24,0.0015,0.1047,-1.449,Cohen_d
21.0,Diet 1 vs 4,-2.71,23,0.0125,0.9005,-1.129,Cohen_d
21.0,Diet 2 vs 3,-1.66,18,0.1145,1.0,-0.742,Cohen_d
21.0,Diet 2 vs 4,-0.81,17,0.4296,1.0,-0.372,Cohen_d
21.0,Diet 3 vs 4,1.15,17,0.2655,1.0,0.529,Cohen_d
